date,time,shooter,team,keeper,opposition,result,home_team,away_team,home_score,away_score,goal,on_target,save
40663,49.54,Emilio Renteria,CLB,Jay Nolly,VAN,Goal,CLB,VAN,0,0,1,1,0
40663,13.19,Rafael Marquez,NYRB,Jimmy Nielsen,SKC,Saved,NYRB,SKC,0,0,0,1,1
40663,75.43,Sebastien Le Toux,PHI,Jon Busch,SJ,Goal,PHI,SJ,0,0,1,1,0
40663,74.48,Brad Evans,SEA,Stefan Frei,TOR,Goal,SEA,TOR,2,0,1,1,0
40667,70.16,Brad Evans,SEA,Bill Hamid,DCU,Goal,DCU,SEA,2,0,1,1,0
40670,66.19,Emilio Renteria,CLB,Kasey Keller,SEA,Goal,CLB,SEA,0,1,1,1,0
40670,49.14,Joao Plata,TOR,Tally Hall,HOU,Goal,TOR,HOU,0,0,1,1,0
40674,47.19,Daniel Hernandez,FCD,Stefan Frei,TOR,Goal,FCD,TOR,0,0,1,1,0
40677,61.25,Chris Pontius,DCU,Matt Pickens,COL,Goal,DCU,COL,0,1,1,1,0
40677,43.43,Landon Donovan,LA,Eric Kronberg,SKC,Goal,LA,SKC,0,1,1,1,0
40677,48.47,Shalrie Joseph,NE,Jay Nolly,VAN,Goal,NE,VAN,0,0,1,1,0
40678,34.08,Dwayne De Rosario,NYRB,Dan Kennedy,CHV,Goal,NYRB,CHV,1,2,1,1,0
40684,11.44,Brad Davis,HOU,Greg Sutton,NYRB,Goal,HOU,NYRB,0,1,1,1,0
40688,45.35,Landon Donovan,LA,Tally Hall,HOU,Goal,LA,HOU,0,0,1,1,0
40688,26.51,Jeff Larentowicz,COL,Greg Sutton,NYRB,Saved,NYRB,COL,0,0,0,1,1
40691,23.07,Eric Hassli,VAN,Greg Sutton,NYRB,Goal,VAN,NYRB,0,0,1,1,0
40692,67.01,Jack Jewsbury,POR,Bill Hamid,DCU,Goal,POR,DCU,0,1,1,1,0
40692,74.25,Chris Pontius,DCU,Troy Perkins,POR,Goal,POR,DCU,1,1,1,1,0
40698,62.07,Conor Casey,COL,Faryd Mondragon,PHI,Goal,COL,PHI,0,0,1,1,0
40702,75.02,Andres Mendoza,CLB,Nick Rimando,RSL,Goal,CLB,RSL,0,1,1,1,0
40704,33.05,Shalrie Joseph,NE,Greg Sutton,NYRB,Saved,NYRB,NE,0,0,0,1,1
40705,28.36,Eric Hassli,VAN,Kasey Keller,SEA,Goal,SEA,VAN,0,0,1,1,0
40712,37.5,Fabian Espindola,RSL,Bill Hamid,DCU,Goal,RSL,DCU,0,0,1,1,0
40712,84.1,Charlie Davies,DCU,Nick Rimando,RSL,Goal,RSL,DCU,1,0,1,1,0
40713,77.07,Jack Jewsbury,POR,Greg Sutton,NYRB,Post,POR,NYRB,3,2,0,0,0
40713,95.24,Dwayne De Rosario,NYRB,Troy Perkins,POR,Goal,POR,NYRB,3,2,1,1,0
40719,40.34,Brad Davis,HOU,Bill Hamid,DCU,Goal,DCU,HOU,1,0,1,1,0
40719,32.59,Omar Bravo,SKC,Joe Cannon,VAN,Goal,SKC,VAN,0,1,1,1,0
40723,53.03,Nick Soolsma,TOR,Jay Nolly,VAN,Goal,TOR,VAN,0,0,1,1,0
40728,17.41,Fredy Montero,SEA,Brian Perk,LA,Saved,LA,SEA,0,0,0,1,1
40728,3.51,Radivoje Lekic,NE,Nick Rimando,RSL,Goal,RSL,NE,0,0,1,1,0
40728,55.17,Alvaro Saborio,RSL,Matt Reis,NE,Goal,RSL,NE,1,2,1,1,0
40730,72.1,Terry Dunfield,VAN,William Hesmer,CLB,Saved,VAN,CLB,0,0,0,1,1
40734,82.06,Osvaldo Alonso,SEA,Troy Perkins,POR,Goal,POR,SEA,2,2,1,1,0
40740,24.09,Jack Jewsbury,POR,Sean Johnson,CHI,Goal,CHI,POR,0,0,1,1,0
40744,43.49,Charlie Davies,DCU,Matt Reis,NE,Miss,DCU,NE,0,0,0,0,0
40747,64.57,Caleb Folan,COL,Matt Reis,NE,Goal,COL,NE,0,1,1,1,0
40747,89.42,Shalrie Joseph,NE,Matt Pickens,COL,Goal,COL,NE,2,1,1,1,0
40747,62.37,Alvaro Saborio,RSL,Jon Busch,SJ,Goal,RSL,SJ,0,0,1,1,0
40754,36.18,Alvaro Fernandez,SEA,Tally Hall,HOU,Goal,HOU,SEA,2,0,1,1,0
40754,56.46,Jack Jewsbury,POR,Stefan Frei,TOR,Goal,POR,TOR,1,0,1,1,0
